Date, Close/Last, Volume, Open, High, Low
12/18/2020, $126.655, 192541500, $128.96, $129.1, $126.12
12/17/2020, $128.7, 94359810, $128.9, $129.58, $128.045
12/16/2020, $127.81, 98208590, $127.41, $128.37, $126.56
12/15/2020, $127.88, 157572300, $124.34, $127.9, $124.13
12/14/2020, $121.78, 79075990, $122.6, $123.35, $121.54
12/11/2020, $122.41, 86939790, $122.43, $122.76, $120.55
12/10/2020, $123.24, 81312170, $120.5, $123.87, $120.15
12/09/2020, $121.78, 115089200, $124.53, $125.95, $121
12/08/2020, $124.38, 82225510, $124.37, $124.98, $123.09
12/07/2020, $123.75, 86711990, $122.31, $124.57, $122.25
12/04/2020, $122.25, 78260420, $122.6, $122.8608, $121.52
12/03/2020, $122.94, 78967630, $123.52, $123.78, $122.21
12/02/2020, $123.08, 89004200, $122.02, $123.37, $120.89
12/01/2020, $122.72, 128166800, $121.01, $123.4693, $120.01
11/30/2020, $119.05, 169410200, $116.97, $120.97, $116.81
11/27/2020, $116.59, 46691330, $116.57, $117.49, $116.22
11/25/2020, $116.03, 76499230, $115.55, $116.75, $115.17
11/24/2020, $115.17, 113874200, $113.91, $115.85, $112.59
11/23/2020, $113.85, 127959300, $117.18, $117.6202, $113.75
11/20/2020, $117.34, 73604290, $118.64, $118.77, $117.29
